region,CHR,start,end,cglist,nprobes
Chr1:569427-569687,1,569427,569687,cg08858441;cg03348902;cg01070250,3
Chr1:713921-714177,1,713921,714177,cg10037654;cg14057946;cg11422233;cg16047670;cg18263059;cg01014490,6
Chr1:834183-834356,1,834183,834356,cg13938959;cg12445832;cg23999112,3
Chr1:840931-841067,1,840931,841067,cg13924672;cg10847807;cg20501011,3
Chr1:848379-848609,1,848379,848609,cg11851804;cg06623778;cg08186992;cg17436295,4
Chr1:942161-942696,1,942161,942696,cg13219080;cg09364122;cg17142931;cg17006413;cg21472517;cg18019572;cg22673826;cg10625579;cg01922485,9
Chr1:946675-947343,1,946675,947343,cg26420561;cg22020633;cg01768082;cg07589034;cg22367159;cg26837773;cg15825373;cg22618402;cg06538872,9
Chr1:991525-991708,1,991525,991708,cg02096324;cg08262378;cg13439946,3
Chr1:994498-994637,1,994498,994637,cg12184864;cg21607076;cg12647165,3
Chr1:995013-995180,1,995013,995180,cg02482614;cg17098415;cg11308274;cg08459564,4
Chr1:999599-999888,1,999599,999888,cg11405655;cg25523405;cg02105666;cg21139076;cg07549208,5
Chr1:1001867-1002068,1,1001867,1002068,cg06095202;cg04891761;cg15500259,3
Chr1:1003376-1003529,1,1003376,1003529,cg08709360;cg01244934;cg15899727,3
Chr1:1061521-1061647,1,1061521,1061647,cg20619296;cg18329352;cg25973293,3
Chr1:1065864-1066277,1,1065864,1066277,cg17094363;cg09146328;cg21775619;cg07179016,4
Chr1:1067099-1067397,1,1067099,1067397,cg11750929;cg01776299;cg00300303;cg09032281,4
Chr1:1073424-1073529,1,1073424,1073529,cg11071912;cg00812770;cg16254267,3
Chr1:1076166-1076431,1,1076166,1076431,cg14824543;cg21862126;cg12097325,3
Chr1:1097027-1097270,1,1097027,1097270,cg10335452;cg06193359;cg13560058;cg00082285,4
Chr1:1098900-1099166,1,1098900,1099166,cg22521151;cg00207921;cg20544808;cg18792131,4
Chr1:1099583-1099651,1,1099583,1099651,cg08090385;cg08474826;cg20185617,3
Chr1:1100360-1100557,1,1100360,1100557,cg15414773;cg21475076;cg14476334,3
Chr1:1144005-1144203,1,1144005,1144203,cg12701018;cg25144135;cg20996124,3
Chr1:1144558-1144724,1,1144558,1144724,cg16266669;cg02296931;cg15924570,3
Chr1:1347647-1347832,1,1347647,1347832,cg15863361;cg00009834;cg27295412,3
Chr1:1713944-1714271,1,1713944,1714271,cg24163210;cg00558749;cg13461447;cg10207218;cg05262191,5
Chr1:1855209-1855324,1,1855209,1855324,cg07924154;cg03547078;cg22447799,3
Chr1:1858037-1858286,1,1858037,1858286,cg18231054;cg06092084;cg11977488,3
Chr1:1861675-1861922,1,1861675,1861922,cg07227679;cg19630039;cg06082439,3
Chr1:1946688-1947161,1,1946688,1947161,cg13103143;cg03443309;cg13624878;cg22735065;cg15225282,5
Chr1:1974661-1974941,1,1974661,1974941,cg04843461;cg16703312;cg12658400;cg15198247;cg15356494,5
Chr1:1976394-1976612,1,1976394,1976612,cg05597180;cg11863397;cg13298359,3
Chr1:2145116-2145276,1,2145116,2145276,cg23632393;cg12526693;cg26553501,3
Chr1:2152307-2152340,1,2152307,2152340,cg08455157;cg19463010;cg12310543,3
Chr1:2250410-2250860,1,2250410,2250860,cg03324138;cg02237208;cg20989215;cg00567930;cg27222162,5
Chr1:2350059-2350197,1,2350059,2350197,cg11596239;cg26857521;cg20826345,3
Chr1:2357253-2357299,1,2357253,2357299,cg02001297;cg02952012;cg16397225,3
Chr1:2359927-2360074,1,2359927,2360074,cg20491328;cg12715395;cg22502001;cg06749803,4
Chr1:2382583-2382774,1,2382583,2382774,cg12140755;cg12610239;cg06753057,3
